"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"493",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"494",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"495",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"496",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"497",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"498",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"499",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"500",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"501",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"502",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"503",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"504",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"505",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"506",2024,0.13837122,0.0064,0.0754,70000,1.8,23.44222,19.50052,2927.453,31.4,2,2588.508
"507",2025,0.1393376,0.0078,0.0717,70000,1.8,23.44575,19.52715,3018.603,31.3,2,2624.488
"508",2026,0.1389083,0.0061,0.064,70000,1.8,23.44741,19.55418,3119.651,31.3,2,2669.629
"509",2027,0.1382273,0.0045,0.0544,70000,1.8,23.44732,19.58201,3226.301,31.1,2,2717.415
"510",2028,0.1376198,0.0106,0.0529,70000,1.8,23.44571,19.61105,3331.017,31,1.9,2757.361
"511",2029,0.1372636,0.0106,0.0515,70000,1.8,23.44289,19.64191,3436.422,30.9,1.9,2795.689
"512",2030,0.1368567,0.0106,0.05,70000,1.8,23.43893,19.67501,3547.259,30.7,1.9,2836.226
"513",2031,0.1365477,0.01,0.05,70000,1.8,23.43391,19.71043,3655.536,30.6,1.9,2872.53
"514",2032,0.1361325,0.01,0.05,70000,1.8,23.42796,19.74827,3766.745,30.5,1.8,2909.011
"515",2033,0.1362811,0.01,0.05,70000,1.8,23.42138,19.78867,3873.673,30.4,1.8,2940.137
"516",2034,0.1363346,0.01,0.05,70000,1.8,23.41447,19.83173,3984.424,30.3,1.8,2972.185
"517",2035,0.1362519,0.01,0.05,70000,1.8,23.40762,19.87763,4098.747,30.3,1.8,3004.879
"518",2036,0.1362093,0.01,0.05,70000,1.8,23.40132,19.92649,4213.431,30.2,1.7,3035.829
